"Utiliteitsbouw dienstensector","Oppervlakteklasse","Gemiddeld aardgasverbruik (m3/m2)","Gemiddeld elektriciteitsverbruik (kWh/m2)"
"Detailhandel met koeling","0 tot 250 m²","18,7","231,8"
"Detailhandel met koeling","250 tot 500 m²","17,2","174,8"
"Detailhandel met koeling","500 tot 1 000 m²","13,7","243,6"
"Detailhandel met koeling","1 000 tot 2 500 m²","11,1","279,7"
"Detailhandel met koeling","2 500 tot 5 000 m²","7,3","201,8"
"Detailhandel met koeling","5 000 tot 10 000 m²",".","."
"Detailhandel met koeling","10 000 tot 25 000 m²",".","."
"Detailhandel zonder koeling","0 tot 250 m²","17,0","105,2"
"Detailhandel zonder koeling","250 tot 500 m²","11,9","84,8"
"Detailhandel zonder koeling","500 tot 1 000 m²","8,8","70,6"
"Detailhandel zonder koeling","1 000 tot 2 500 m²","6,9","76,1"
"Detailhandel zonder koeling","2 500 tot 5 000 m²","6,2","70,0"
"Detailhandel zonder koeling","5 000 tot 10 000 m²","5,8","64,7"
"Detailhandel zonder koeling","10 000 tot 25 000 m²","6,4","74,1"
"Groothandel met koeling","0 tot 250 m²","18,1","95,6"
"Groothandel met koeling","250 tot 500 m²","12,3","83,8"
"Groothandel met koeling","500 tot 1 000 m²","9,0","126,2"
"Groothandel met koeling","1 000 tot 2 500 m²","8,2","178,9"
"Groothandel met koeling","2 500 tot 5 000 m²","7,0","139,5"
"Groothandel met koeling","5 000 tot 10 000 m²",".","173,8"
"Groothandel met koeling","10 000 tot 25 000 m²",".","."
"Groothandel zonder koeling","0 tot 250 m²","16,6","64,9"
"Groothandel zonder koeling","250 tot 500 m²","11,9","50,9"
"Groothandel zonder koeling","500 tot 1 000 m²","8,9","46,1"
"Groothandel zonder koeling","1 000 tot 2 500 m²","7,3","47,3"
"Groothandel zonder koeling","2 500 tot 5 000 m²","6,7","50,0"
"Groothandel zonder koeling","5 000 tot 10 000 m²","6,0","53,7"
"Groothandel zonder koeling","10 000 tot 25 000 m²","6,6","69,8"
"Autobedrijf: showroom en garage","0 tot 250 m²","17,7","60,3"
"Autobedrijf: showroom en garage","250 tot 500 m²","11,0","44,2"
"Autobedrijf: showroom en garage","500 tot 1 000 m²","8,8","42,8"
"Autobedrijf: showroom en garage","1 000 tot 2 500 m²","8,5","46,9"
"Autobedrijf: showroom en garage","2 500 tot 5 000 m²","8,0","51,9"
"Autobedrijf: showroom en garage","5 000 tot 10 000 m²","7,6","52,7"
"Autobedrijf: showroom en garage","10 000 tot 25 000 m²",".","."
"Autobedrijf: autoschadeherstelbedrijven","0 tot 250 m²","16,3","61,7"
"Autobedrijf: autoschadeherstelbedrijven","250 tot 500 m²","12,1","52,3"
"Autobedrijf: autoschadeherstelbedrijven","500 tot 1 000 m²","12,1","53,0"
"Autobedrijf: autoschadeherstelbedrijven","1 000 tot 2 500 m²","12,4","55,6"
"Autobedrijf: autoschadeherstelbedrijven","2 500 tot 5 000 m²","9,2","52,9"
"Autobedrijf: autoschadeherstelbedrijven","5 000 tot 10 000 m²",".","."
"Autobedrijf: autoschadeherstelbedrijven","10 000 tot 25 000 m²",".","."
"Horeca: café","0 tot 250 m²","22,4","146,0"
"Horeca: café","250 tot 500 m²","17,4","117,5"
"Horeca: café","500 tot 1 000 m²","14,4","90,8"
"Horeca: café","1 000 tot 2 500 m²","10,9","73,2"
"Horeca: café","2 500 tot 5 000 m²",".","."
"Horeca: café","5 000 tot 10 000 m²",".","."
"Horeca: café","10 000 tot 25 000 m²",".","."
"Horeca: restaurant","0 tot 250 m²","37,4","227,8"
"Horeca: restaurant","250 tot 500 m²","33,1","184,2"
"Horeca: restaurant","500 tot 1 000 m²","26,5","149,5"
"Horeca: restaurant","1 000 tot 2 500 m²","21,3","127,3"
"Horeca: restaurant","2 500 tot 5 000 m²",".","."
"Horeca: restaurant","5 000 tot 10 000 m²",".","."
"Horeca: restaurant","10 000 tot 25 000 m²",".","."
"Horeca: cafetaria","0 tot 250 m²","38,1","265,3"
"Horeca: cafetaria","250 tot 500 m²","28,7","172,5"
"Horeca: cafetaria","500 tot 1 000 m²","24,3","201,5"
"Horeca: cafetaria","1 000 tot 2 500 m²",".","179,4"
"Horeca: cafetaria","2 500 tot 5 000 m²",".","."
"Horeca: cafetaria","5 000 tot 10 000 m²",".","."
"Horeca: cafetaria","10 000 tot 25 000 m²",".","."
"Horeca: hotels, motels","0 tot 250 m²","22,8","64,9"
"Horeca: hotels, motels","250 tot 500 m²","22,6","71,5"
"Horeca: hotels, motels","500 tot 1 000 m²","21,9","85,1"
"Horeca: hotels, motels","1 000 tot 2 500 m²","21,3","97,6"
"Horeca: hotels, motels","2 500 tot 5 000 m²","21,1","107,7"
"Horeca: hotels, motels","5 000 tot 10 000 m²","22,0","112,1"
"Horeca: hotels, motels","10 000 tot 25 000 m²","21,2","114,0"
"Kantoor: overheid","0 tot 250 m²","20,9","60,0"
"Kantoor: overheid","250 tot 500 m²","18,3","49,5"
"Kantoor: overheid","500 tot 1 000 m²","16,2","51,0"
"Kantoor: overheid","1 000 tot 2 500 m²","13,3","57,0"
"Kantoor: overheid","2 500 tot 5 000 m²","11,0","85,2"
"Kantoor: overheid","5 000 tot 10 000 m²","10,5","90,8"
"Kantoor: overheid","10 000 tot 25 000 m²","11,6","84,1"
"Kantoor: overig","0 tot 250 m²","17,3","57,2"
"Kantoor: overig","250 tot 500 m²","15,0","50,8"
"Kantoor: overig","500 tot 1 000 m²","12,8","54,9"
"Kantoor: overig","1 000 tot 2 500 m²","10,9","66,3"
"Kantoor: overig","2 500 tot 5 000 m²","10,7","76,1"
"Kantoor: overig","5 000 tot 10 000 m²","10,6","75,8"
